"V3" "V4"
"122" 0.23047 0.32648
"123" -0.67288 -1.323
"124" -0.017022 0.052871
"125" 0.9471 0.54189
"126" 0.74355 -0.9308
"127" -1.8055 0.27095
"128" -0.33685 -0.31901
"129" 0.062284 1.4267
"130" -0.50552 -0.53647
"131" -0.20424 0.14307
"132" -1.0616 0.58884
"133" -0.031663 0.053049
"134" 0.12073 -0.74886
"135" 0.53669 0.36604
"136" 0.61145 0.71937
"137" -0.39098 0.28635
"138" 0.39911 0.74246
"139" 0.47924 0.84677
"140" -1.2029 -0.62595
"141" 0.1052 -0.5104
"142" -0.97279 -1.5417
"143" -0.032032 -0.083714
"144" 1.5053 0.74229
"145" 1.3445 0.46699
"146" -1.0344 -1.5363
"147" 0.10125 -0.31719
"148" -0.80955 0.2558
"149" -1.7074 -0.86574
"150" 0.22468 0.85839
"151" 1.5441 1.1148
"152" -0.18019 -1.4091
"153" -0.28541 0.5762
"154" 0.80473 0.47242
"155" 1.1083 0.095017
"156" -0.57285 1.2998
"157" -0.35042 0.79331
"158" -0.12126 -0.99378
"159" 0.26836 -0.12441
"160" 0.44221 0.50155
"161" -0.16136 1.004
"162" 0.17505 1.7677
"163" -0.21393 -0.0084211
"164" -1.6774 1.0533
"165" -1.0532 -1.1145
"166" -0.5536 -1.808
"167" -1.48 1.3272
"168" 0.84236 -1.2584
"169" -0.2236 0.018669
"170" 0.77724 0.41028
"171" -0.23815 1.646
"172" 1.5738 -0.46167
"173" -1.5487 -0.022128
"174" 1.2298 1.4483
"175" 0.017174 -0.54889
"176" -0.78648 -1.3372
"177" -1.7593 0.69983
"178" 0.43904 -0.48441
"179" 0.86955 0.092818
"180" 0.15723 0.05639
"181" 0.3992 -0.1274
"182" -0.026495 1.0729
"183" -1.4034 -0.75283
"184" -0.3649 1.5354
"185" 0.51995 1.6805
"186" 1.1802 1.3031
"187" 0.42589 -1.7973
"188" 1.615 1.1508
"189" -0.3204 0.64387
"190" -0.67905 -0.35037
"191" -0.31679 -0.14325
"192" -0.13235 0.036668
"193" 0.038148 -0.012224
"194" 1.6113 0.14273
"195" 0.21606 -0.94282
"196" -0.5054 -0.43924
"197" -0.34248 0.11527
"198" 0.11452 0.11441
"199" -0.054777 -0.027457
"200" -1.359 -0.035671
